feature,correlation,null_rate,unique_values,valid_rows,total_rows,null_count
Timestamp,0.9893298399246687,0.0,760944,56064,9516837,0
EntityType,0.9728535283296152,0.0,33,56064,9516837,0
AlertTitle,0.9583099404663222,0.0,86149,56064,9516837,0
DetectorId,0.9508050655095233,0.0,8428,56064,9516837,0
DeviceName,0.7726044105040158,0.0,114541,56064,9516837,0
MitreTechniques,0.7316003941793932,57.4601204160584,1193,12618,9516837,5468386
AccountName,0.7071067811865476,0.0,368250,56064,9516837,0
AccountUpn,0.7018811014026118,0.0,530183,56064,9516837,0
ResourceIdName,0.6748256795088756,0.0,2309,56064,9516837,0
OSFamily,0.6476921251915649,0.0,6,56064,9516837,0
OSVersion,0.6476921251915649,0.0,58,56064,9516837,0
Category,0.44651437532744165,0.0,20,56064,9516837,0
EvidenceRole,0.005320026371675728,0.0,2,56064,9516837,0
RegistryValueData,0.0,0.0,699,56064,9516837,0
State,0.0,0.0,1368,56064,9516837,0
CountryCode,0.0,0.0,236,56064,9516837,0
FolderPath,0.0,0.0,87832,56064,9516837,0
FileName,0.0,0.0,222085,56064,9516837,0
Sha256,0.0,0.0,106416,56064,9516837,0
RegistryValueName,0.0,0.0,525,56064,9516837,0
RegistryKey,0.0,0.0,1341,56064,9516837,0
Roles,0.0,97.7077362993608,10,411,9516837,9298686
ResourceType,0.0,99.92565807316024,25,62,9516837,9509762
ApplicationName,0.0,0.0,2681,56064,9516837,0
Url,0.0,0.0,123252,56064,9516837,0
IpAddress,0.0,0.0,285957,56064,9516837,0
City,0.0,0.0,9342,56064,9516837,0
