feature,correlation,null_rate,unique_values,valid_rows,total_rows,null_count
EmailClusterId,0.8737202170920539,98.98272924081814,26474,96812,9516837,9420025
Timestamp,0.864763200812084,0.0,760944,9465497,9516837,0
AlertTitle,0.7174389147840764,0.0,86149,9465497,9516837,0
DetectorId,0.7012113111155402,0.0,8428,9465497,9516837,0
ThreatFamily,0.6655779162430875,99.21317345248217,1745,74881,9516837,9441956
AccountUpn,0.5809503385498008,0.0,530183,9465497,9516837,0
MitreTechniques,0.5456096425000345,57.4601204160584,1193,4037984,9516837,5468386
AccountName,0.47440596429578147,0.0,368250,9465497,9516837,0
ResourceType,0.4141231235983116,99.92565807316024,25,7015,9516837,9509762
IpAddress,0.3988998513513354,0.0,285957,9465497,9516837,0
EntityType,0.30757551521685833,0.0,33,9465497,9516837,0
Category,0.30677095274444627,0.0,20,9465497,9516837,0
Roles,0.3036809760978141,97.7077362993608,10,217855,9516837,9298686
FileName,0.27559369218500257,0.0,222085,9465497,9516837,0
DeviceName,0.2679830203155996,0.0,114541,9465497,9516837,0
City,0.2334974219365117,0.0,9342,9465497,9516837,0
Sha256,0.22823807915765967,0.0,106416,9465497,9516837,0
FolderPath,0.22820665799760967,0.0,87832,9465497,9516837,0
CountryCode,0.22468306840644262,0.0,236,9465497,9516837,0
State,0.21964725835709167,0.0,1368,9465497,9516837,0
Url,0.21860735886705135,0.0,123252,9465497,9516837,0
EvidenceRole,0.16080459336351233,0.0,2,9465497,9516837,0
ApplicationName,0.07633468525982198,0.0,2681,9465497,9516837,0
RegistryKey,0.05290730780843458,0.0,1341,9465497,9516837,0
OSVersion,0.04708731881987804,0.0,58,9465497,9516837,0
OSFamily,0.04663943320239678,0.0,6,9465497,9516837,0
AntispamDirection,0.03944578455814581,98.1369650441633,5,177302,9516837,9339535
ResourceIdName,0.02498332274615838,0.0,2309,9465497,9516837,0
RegistryValueData,0.02066955800462564,0.0,699,9465497,9516837,0
RegistryValueName,0.017319726245639634,0.0,525,9465497,9516837,0
