feature,correlation,null_rate,unique_values,valid_rows,total_rows,null_count
ThreatFamily,0.985928587775807,99.21317345248217,1745,74881,9516837,9441956
EmailClusterId,0.9433466226904131,98.98272924081814,26474,86119,9516837,9420025
Timestamp,0.8030796626991134,0.0,760944,2234265,9516837,0
AlertTitle,0.7866528334562807,0.0,86149,2234265,9516837,0
DetectorId,0.7690606628617204,0.0,8428,2234265,9516837,0
MitreTechniques,0.661691919944308,57.4601204160584,1193,991966,9516837,5468386
Url,0.6060927745752978,0.0,123252,2234265,9516837,0
AntispamDirection,0.5781744459789873,98.1369650441633,5,169653,9516837,9339535
Category,0.46424698795631275,0.0,20,2234265,9516837,0
EntityType,0.4613846311095302,0.0,33,2234265,9516837,0
AccountUpn,0.37993954485635595,0.0,530183,2234265,9516837,0
IpAddress,0.3175770582281631,0.0,285957,2234265,9516837,0
AccountName,0.30808291546148436,0.0,368250,2234265,9516837,0
FileName,0.24869141953018456,0.0,222085,2234265,9516837,0
Sha256,0.24486784019019237,0.0,106416,2234265,9516837,0
FolderPath,0.2357630399546243,0.0,87832,2234265,9516837,0
ApplicationName,0.22534181076105728,0.0,2681,2234265,9516837,0
EvidenceRole,0.19521931561434258,0.0,2,2234265,9516837,0
DeviceName,0.14901860330658628,0.0,114541,2234265,9516837,0
OSFamily,0.11869763030072564,0.0,6,2234265,9516837,0
OSVersion,0.11869763030072564,0.0,58,2234265,9516837,0
Roles,0.057947815364526804,97.7077362993608,10,2298,9516837,9298686
RegistryKey,0.03433195932911081,0.0,1341,2234265,9516837,0
RegistryValueData,0.015572754400346943,0.0,699,2234265,9516837,0
RegistryValueName,0.013291269810595,0.0,525,2234265,9516837,0
ResourceIdName,0.0,0.0,2309,2234265,9516837,0
CountryCode,0.0,0.0,236,2234265,9516837,0
State,0.0,0.0,1368,2234265,9516837,0
City,0.0,0.0,9342,2234265,9516837,0
