feature,correlation,null_rate,unique_values,valid_rows,total_rows,null_count
MitreTechniques,0.7280160383811896,57.4601204160584,1193,210714,9516837,5468386
AlertTitle,0.6987216672041098,0.0,86149,1444129,9516837,0
Timestamp,0.6957945120130763,0.0,760944,1444129,9516837,0
DetectorId,0.681233487669447,0.0,8428,1444129,9516837,0
AccountUpn,0.6486424378659849,0.0,530183,1444129,9516837,0
AccountName,0.648244655300128,0.0,368250,1444129,9516837,0
FileName,0.30380492908023154,0.0,222085,1444129,9516837,0
Sha256,0.2942972356309714,0.0,106416,1444129,9516837,0
FolderPath,0.2631695054841014,0.0,87832,1444129,9516837,0
Category,0.20375703680752683,0.0,20,1444129,9516837,0
ThreatFamily,0.18488397755632777,99.21317345248217,1745,74881,9516837,9441956
EntityType,0.05462079942960527,0.0,33,1444129,9516837,0
IpAddress,0.026217168314924346,0.0,285957,1444129,9516837,0
EvidenceRole,0.023665379370815177,0.0,2,1444129,9516837,0
DeviceName,0.016347871539668442,0.0,114541,1444129,9516837,0
Url,0.01626571695599425,0.0,123252,1444129,9516837,0
OSVersion,0.012768238116472484,0.0,58,1444129,9516837,0
OSFamily,0.012768238116472482,0.0,6,1444129,9516837,0
RegistryKey,0.003485073375909951,0.0,1341,1444129,9516837,0
RegistryValueData,0.0016317118420953983,0.0,699,1444129,9516837,0
RegistryValueName,0.0014020234862460103,0.0,525,1444129,9516837,0
ResourceIdName,0.0,0.0,2309,1444129,9516837,0
ApplicationName,0.0,0.0,2681,1444129,9516837,0
CountryCode,0.0,0.0,236,1444129,9516837,0
State,0.0,0.0,1368,1444129,9516837,0
City,0.0,0.0,9342,1444129,9516837,0
