iter	MultiClass
0	1.059926615
1	1.029611621
2	0.9944720414
3	0.9660203422
4	0.9479413818
5	0.9325348263
6	0.9155141559
7	0.9005286665
8	0.8844534967
9	0.8781242197
10	0.8631741968
11	0.8495272852
12	0.8405739011
13	0.8308800277
14	0.8226917491
15	0.8134021632
16	0.8078397855
17	0.8039831823
18	0.7990226141
19	0.7947369913
20	0.7902224198
21	0.7886133291
22	0.7868804715
23	0.785286064
24	0.7807769912
25	0.7794217501
26	0.7724001392
27	0.7720546208
28	0.7701694865
29	0.7683530601
30	0.7660114839
31	0.7628799301
32	0.7600071707
33	0.758121745
34	0.7567275507
35	0.7527307117
36	0.7510713776
37	0.7495667892
38	0.7480525611
39	0.7452765302
40	0.7435276255
41	0.7417279039
42	0.7404320305
43	0.7397958501
44	0.7387409208
45	0.7375617486
46	0.7347885856
47	0.7330577155
48	0.7302253097
49	0.7282677016
50	0.7273643401
51	0.7263353632
52	0.7233483072
53	0.7218604522
54	0.7206635296
55	0.7192033424
56	0.7177921691
57	0.7166269041
58	0.7155082008
59	0.7126980099
60	0.7111943835
61	0.7106008301
62	0.7097089015
63	0.7078190608
64	0.705015804
65	0.7021142294
66	0.7013708515
67	0.6989327084
68	0.6962700439
69	0.6952005758
70	0.693915624
71	0.6917651283
72	0.6889070606
73	0.685690937
74	0.6831562644
75	0.6807315628
76	0.6793308313
77	0.6783499141
78	0.6752744747
79	0.6717055068
80	0.6699179198
81	0.6679282657
82	0.666854242
83	0.6644158366
84	0.6635173263
85	0.6622544437
86	0.6608311804
87	0.6593725303
88	0.6575182334
89	0.6549910592
90	0.6523619449
91	0.6504298655
92	0.6487379144
93	0.6472089718
94	0.6454345086
95	0.642292431
96	0.6409228855
97	0.6404374808
98	0.6395305685
99	0.6382475755
