iter	Passed	Remaining
0	8	833
1	14	703
2	19	616
3	26	635
4	31	606
5	37	586
6	43	581
7	57	664
8	63	640
9	70	630
10	76	620
11	83	614
12	93	625
13	104	639
14	117	668
15	124	653
16	133	653
17	140	638
18	145	622
19	151	606
20	158	598
21	161	572
22	167	561
23	169	536
24	174	524
25	177	505
26	182	493
27	184	473
28	189	462
29	194	453
30	199	443
31	204	434
32	210	427
33	215	418
34	220	410
35	227	403
36	232	395
37	237	387
38	242	379
39	247	371
40	253	364
41	257	355
42	263	349
43	267	340
44	273	334
45	277	325
46	282	318
47	288	312
48	294	306
49	298	298
50	303	291
51	309	285
52	316	280
53	322	274
54	328	268
55	334	262
56	339	255
57	344	249
58	350	243
59	356	237
60	361	231
61	367	225
62	373	219
63	380	213
64	386	207
65	392	202
66	398	196
67	403	189
68	409	184
69	415	177
70	421	172
71	426	166
72	432	160
73	441	155
74	455	151
75	474	149
76	487	145
77	497	140
78	504	134
79	511	127
80	517	121
81	524	115
82	530	108
83	536	102
84	543	95
85	548	89
86	553	82
87	560	76
88	565	69
89	571	63
90	577	57
91	581	50
92	586	44
93	592	37
94	597	31
95	602	25
96	607	18
97	612	12
98	617	6
99	622	0
